id,exp_desc,amount,recurring_period,category_id,recurring_start,recurring_end,user_id,is_active,created_on,updated_on
1,Aviva Group Term PA Insurance,6.0,M,1,2019-04-01,2199-12-31,1,True,2022-05-28 00:00:00,2022-06-28 00:00:00
2,Aviva CI (May Start),44.33,M,1,2020-05-01,2199-12-31,1,True,2022-05-28 00:00:00,2022-06-28 00:00:00
3,Allowance to Parents,500.0,M,3,2019-01-01,2199-12-31,1,True,2022-05-28 00:00:00,2022-06-28 00:00:00
4,Safra Membership (Till 31 July 2025),1.26,M,6,2021-06-30,2025-07-31,1,True,2022-05-28 00:00:00,2022-07-01 00:00:00
5,Aviva Group Term Life Insurance,9.62,M,1,2019-01-01,2199-12-31,1,True,2022-05-28 00:00:00,2022-07-18 00:00:00
6,Hospitalization Plan (Sept),31.16,M,1,2019-01-01,2199-12-31,1,True,2022-05-28 00:00:00,2022-07-18 00:00:00
7,VPN (Aug 2022 - Jul 2024),5.0,M,8,2022-08-01,2024-07-31,1,False,2022-08-02 00:00:00,2022-08-02 00:00:00
8,ViviFi Bill,11.0,M,2,2019-01-01,2199-12-31,1,True,2022-05-28 00:00:00,2022-08-28 00:00:00
9,Camping Tent (Sep 2022 - Aug 2023),22.0,M,8,2022-09-01,2023-08-31,1,False,2022-08-30 00:00:00,2022-08-30 00:00:00
10,Lasik (Sep 2022 - Aug 2032),47.23,M,1,2022-09-01,2199-12-31,1,True,2022-08-30 00:00:00,2022-11-04 00:00:00
11,YouTube Premium (Jan 2023 - Dec 2023),3.6,M,8,2023-01-15,2023-11-30,1,False,2023-01-15 00:00:00,2023-01-15 00:00:00
12,Income Tax For 2022,88.0,M,2,2024-01-01,2024-12-31,1,False,2024-01-19 10:32:00,2024-01-19 10:32:00
13,ROG Strix Laptop (Apr 2024 - Mar 2029),20.835,M,6,2024-04-01,2029-03-31,1,True,2024-04-08 10:32:00,2024-04-08 10:32:00
14,Atmos Mission 2 (Apr 2024 - Mar 2026),28.0,M,8,2024-04-01,2026-03-31,1,True,2024-04-13 10:32:00,2024-04-13 10:32:00
15,Income Tax For 2024,179.23,M,2,2024-06-01,2025-06-30,1,True,2024-05-08 10:32:00,2024-05-08 10:32:00
16,Sharkskin Wetsuit,9.8,M,6,2024-05-01,2026-04-30,1,True,2024-05-26 10:32:00,2024-05-08 10:32:00
17,Surfskate,10.416667,M,6,2024-09-11,2026-08-30,1,True,2024-09-11 00:00:00,2024-09-11 10:32:00
